# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005         	-1.171852e-04	3.325270e+03	1.181231e-02	5.788968e-03	6.023339e-03
0.01          	-5.098575e-05	1.167125e+01	-1.214328e+00	-6.072150e-01	-6.071130e-01
0.015         	-1.009887e-04	1.108176e+01	-1.187495e+00	-5.938484e-01	-5.936464e-01
0.02          	-1.650721e-04	1.098650e+01	-1.188938e+00	-5.946340e-01	-5.943038e-01
0.025         	-2.420448e-04	1.090118e+01	-1.180049e+00	-5.902665e-01	-5.897824e-01
0.03          	-3.308179e-04	1.082222e+01	-1.162393e+00	-5.815275e-01	-5.808659e-01
0.035         	-4.304212e-04	1.074824e+01	-1.149686e+00	-5.752734e-01	-5.744125e-01
0.04          	-5.399970e-04	1.067508e+01	-1.142669e+00	-5.718747e-01	-5.707947e-01
0.045         	-6.587405e-04	1.060162e+01	-1.134000e+00	-5.676587e-01	-5.663413e-01
0.05          	-7.859316e-04	1.052677e+01	-1.126214e+00	-5.638930e-01	-5.623211e-01
0.055         	-9.209425e-04	1.045020e+01	-1.118262e+00	-5.600521e-01	-5.582102e-01
0.06          	-1.063231e-03	1.037184e+01	-1.110460e+00	-5.562933e-01	-5.541669e-01
0.065         	-1.212322e-03	1.029214e+01	-1.102833e+00	-5.526289e-01	-5.502043e-01
0.07          	-1.367755e-03	1.021187e+01	-1.097311e+00	-5.500235e-01	-5.472880e-01
0.075         	-1.529125e-03	1.013151e+01	-1.091520e+00	-5.472893e-01	-5.442311e-01
0.08          	-1.696098e-03	1.005150e+01	-1.084414e+00	-5.439031e-01	-5.405109e-01
0.085         	-1.868375e-03	9.972016e+00	-1.077849e+00	-5.407929e-01	-5.370562e-01
0.09          	-2.045695e-03	9.893383e+00	-1.071271e+00	-5.376812e-01	-5.335898e-01
0.095         	-2.227826e-03	9.815707e+00	-1.064859e+00	-5.346574e-01	-5.302017e-01
0.1           	-2.414563e-03	9.739117e+00	-1.058622e+00	-5.317254e-01	-5.268963e-01
0.105         	-2.605726e-03	9.663735e+00	-1.052758e+00	-5.289845e-01	-5.237731e-01
0.11          	-2.801157e-03	9.589669e+00	-1.047283e+00	-5.264429e-01	-5.208406e-01
0.115         	-3.000716e-03	9.517012e+00	-1.042196e+00	-5.240987e-01	-5.180973e-01
0.12          	-3.204282e-03	9.445841e+00	-1.037497e+00	-5.219530e-01	-5.155444e-01
0.125         	-3.411751e-03	9.376223e+00	-1.033068e+00	-5.199459e-01	-5.131224e-01
0.13          	-3.623032e-03	9.308213e+00	-1.028859e+00	-5.180523e-01	-5.108063e-01
0.135         	-3.838048e-03	9.241845e+00	-1.024884e+00	-5.162802e-01	-5.086041e-01
0.14          	-4.056732e-03	9.177109e+00	-1.021183e+00	-5.146485e-01	-5.065350e-01
0.145         	-4.279028e-03	9.113991e+00	-1.017754e+00	-5.131561e-01	-5.045980e-01
0.15          	-4.504889e-03	9.052472e+00	-1.014578e+00	-5.117939e-01	-5.027842e-01
0.155         	-4.734274e-03	8.992512e+00	-1.011639e+00	-5.105538e-01	-5.010852e-01
0.16          	-4.967120e-03	8.934474e+00	-1.008927e+00	-5.094305e-01	-4.994962e-01
0.165         	-5.203373e-03	8.877778e+00	-1.006498e+00	-5.084523e-01	-4.980456e-01
0.17          	-5.442989e-03	8.822516e+00	-1.004093e+00	-5.074894e-01	-4.966034e-01
0.175         	-5.685935e-03	8.768695e+00	-1.001572e+00	-5.064721e-01	-4.951002e-01
0.18          	-5.932182e-03	8.716246e+00	-9.990053e-01	-5.054349e-01	-4.935705e-01
0.185         	-6.181615e-03	8.665742e+00	-1.001111e+00	-5.067372e-01	-4.943740e-01
0.19          	-6.434216e-03	8.616174e+00	-9.961647e-01	-5.045166e-01	-4.916481e-01
0.195         	-6.689964e-03	8.568258e+00	-9.927749e-01	-5.030774e-01	-4.896975e-01
0.2           	-6.948842e-03	8.521701e+00	-9.879806e-01	-5.009391e-01	-4.870414e-01
